,akita,bulldog,dog,basset,beagle,belga juhász,berni pásztorkutya,havanese,bobtail,bolognese,boxer,bullmastiff,bullterrier,cane corso,colli,coton de tuléar,csivava,dalmata,golden retriever,griffan,husky,ír szetter,japán chin,keverék,kínai kopasz kutya,palota pincsi,kisolasz agár,labrador,lhasa apso,magyar agár,malinois,mops,mudi,német juhász,papillon,pincser,puli,pumi,rottweiler,samayed spice,schnauzer,shar-pei,shetland shepdog,si-csu,spániel,spitz,tacskó,terrier,törpe schnautzer,uszkár,vizsla,west highland white terrier,whippet,
Bakáts utca,,1,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,,,1,
Bakáts tér,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,3,,
Erkel utca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Gálya utca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Gönczy Pál,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Hőgyes Endre utca,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Kinizsi utca,,,,,,1,,1,,,,,,1,,,,,,,,,,4,,1,,,,,,,,1,,,1,,,,,,,,,,1,2,,2,1,,,
Knézich utca,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Közraktár utca,,1,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
Lónyay utca,,,,,2,,1,3,1,2,,,,,,,,,,,,,,15,,1,,2,,,,1,1,2,,,1,,,1,,,,1,1,1,1,5,,1,,,,
Mátyás utca,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipa utca,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,3,,,,,,,
Ráday utca,1,,,,,,,2,,2,,,1,,,,2,,,1,,,,13,,,,2,,,1,,1,1,,,,1,,,,,,,3,1,4,4,1,1,,,,
Vámház krt.,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Zsil utca,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boráros tér,,,,,,,,,,,1,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferenc körút,,2,,,,,,3,,4,,,,,,,1,,1,,,,,11,,,,,,1,,,,1,,,1,2,2,,,,,1,,,1,2,,,2,1,,
Angyal utca,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,
Balázs Béla utca,,,,,1,,,2,,,,,,,,,,,,,,,,4,,,,,,,,,,2,1,,,,,,,,,,1,1,1,3,,2,,,,
Berzenczey utca,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,1,1,,
Bokréta utca,,,,,,,1,,,,,,,,,,,,,,,,,2,,1,,1,1,,,,,,,,1,1,,,,,,,,,2,1,,,,1,,
Dandár utca,,,,,,,,,,2,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,
Drégely utca,,3,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,1,,3,1,1,,1,,
Ernő utca,,1,,,,,,2,,,1,,,,,,,,1,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,
Ferenc tér,,,,,,,,1,,,1,,,,,,3,,,,,,1,3,,1,,,,,,,,1,,,,,,,,1,,,,1,1,1,,1,,2,,
Fék utca,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
